algo,family,algo_us,uart_acc,uart_f1,uart_precision,uart_recall,screen_acc,screen_f1,screen_precision,screen_recall,proj_acc,proj_f1,proj_precision,proj_recall
passthrough,basics,1159,0.7762,0.7732,0.7762,0.7701,0.6971,0.6873,0.686,0.6885,0.6049,0.6107,0.6116,0.6099
grayscale,basics,7717,0.7612,0.7618,0.7671,0.7566,0.6553,0.6474,0.6448,0.6499,0.6005,0.5983,0.5931,0.6036
invert,basics,5788,0.418,0.4108,0.4064,0.4153,0.3643,0.3621,0.3585,0.3657,0.33,0.3297,0.3346,0.325
hist_eq,basics,26883,0.6854,0.6826,0.6856,0.6797,0.6057,0.6056,0.5923,0.6194,0.5153,0.525,0.5245,0.5256
gaussian_3,basics,40719,0.7991,0.7937,0.7951,0.7922,0.7064,0.7005,0.7037,0.6972,0.6452,0.6473,0.6529,0.6417
gaussian_5,basics,23884,0.7829,0.7795,0.7815,0.7775,0.6987,0.708,0.7079,0.7081,0.6269,0.6374,0.6354,0.6393
mean_3,basics,42846,0.8149,0.8055,0.8048,0.8061,0.7472,0.7436,0.7403,0.7469,0.6385,0.6396,0.6303,0.6493
median_3,basics,168868,0.7907,0.7898,0.7792,0.8008,0.6889,0.6894,0.6758,0.7036,0.6102,0.6098,0.6145,0.6052
bilateral,basics,65126,0.8072,0.8134,0.8104,0.8164,0.7366,0.7295,0.7235,0.7356,0.6524,0.6519,0.6403,0.664
sharpen,basics,42585,0.7217,0.7171,0.7145,0.7198,0.6302,0.6348,0.6335,0.6362,0.5431,0.5476,0.5503,0.5449
sobel,edges,43910,0.8706,0.8747,0.8696,0.8799,0.8258,0.826,0.8231,0.8288,0.7578,0.7509,0.7535,0.7484
roberts,edges,14335,0.8232,0.821,0.8161,0.826,0.7337,0.7356,0.7414,0.7299,0.6795,0.6816,0.6748,0.6884
prewitt,edges,44986,0.8819,0.8828,0.8709,0.8951,0.814,0.8195,0.8192,0.8199,0.751,0.7594,0.7578,0.7611
scharr,edges,47082,0.8656,0.8744,0.8708,0.878,0.8273,0.8201,0.8202,0.82,0.7458,0.7414,0.7365,0.7465
kirsch,edges,179513,0.8715,0.8706,0.8693,0.872,0.8057,0.7975,0.7962,0.7987,0.6975,0.7008,0.6909,0.711
frei_chen,edges,45046,0.8497,0.8538,0.8438,0.864,0.7739,0.7765,0.7829,0.7702,0.7037,0.7011,0.7011,0.7012
canny,edges,130114,0.5755,0.57,0.5731,0.5668,0.4843,0.4864,0.4763,0.497,0.4284,0.4207,0.4194,0.422
marr_hildreth,edges,98550,0.8017,0.8071,0.8035,0.8107,0.7451,0.7446,0.736,0.7533,0.6491,0.6491,0.6433,0.6549
laplacian,edges,43530,0.824,0.8259,0.8299,0.822,0.7757,0.7661,0.7654,0.7668,0.6951,0.6985,0.6949,0.7021
dog,blobs,110409,0.7935,0.7912,0.7946,0.7879,0.6907,0.6917,0.693,0.6904,0.5944,0.5952,0.6028,0.5878
log,blobs,77961,0.8232,0.8249,0.8302,0.8197,0.7035,0.7094,0.705,0.7139,0.6396,0.6407,0.6385,0.6429
doh,blobs,19712,0.7843,0.7909,0.7918,0.7901,0.6695,0.6656,0.663,0.6683,0.6085,0.6162,0.6116,0.6209
blob_log_multiscale,blobs,154118,0.8096,0.8002,0.7967,0.8037,0.7134,0.7197,0.7209,0.7186,0.6199,0.6088,0.6051,0.6124
harris,keypoints,18233,0.7469,0.7499,0.7456,0.7542,0.6126,0.6111,0.6139,0.6082,0.5351,0.5345,0.5379,0.531
shi_tomasi,keypoints,28216,0.6928,0.6991,0.699,0.6992,0.5888,0.5845,0.588,0.5811,0.5099,0.5053,0.5041,0.5065
fast9,keypoints,61212,0.6443,0.6509,0.6516,0.6501,0.5534,0.5571,0.5583,0.556,0.4676,0.4685,0.467,0.4699
fast12,keypoints,57878,0.6589,0.6546,0.6445,0.665,0.5593,0.5605,0.5487,0.5728,0.4752,0.486,0.484,0.4881
agast,keypoints,57882,0.6341,0.6389,0.6298,0.6483,0.5204,0.5306,0.5294,0.5317,0.4738,0.4697,0.4661,0.4734
brief,keypoints,62616,0.6425,0.6486,0.6415,0.6559,0.535,0.5383,0.5374,0.5393,0.4606,0.4568,0.448,0.4659
akaze,keypoints,52572,0.7327,0.7404,0.7396,0.7412,0.6049,0.6099,0.6073,0.6125,0.5354,0.5311,0.5294,0.5327
mser,keypoints,14667,0.3943,0.3996,0.4021,0.3971,0.3361,0.3397,0.3336,0.346,0.33,0.3344,0.3312,0.3375
otsu,thresholding,12258,0.8569,0.8502,0.8513,0.8492,0.6903,0.6854,0.6898,0.6812,0.5514,0.5515,0.5481,0.555
adaptive_mean,thresholding,27117,0.7056,0.7036,0.6915,0.7162,0.5812,0.5747,0.5752,0.5743,0.4807,0.4843,0.4787,0.4899
adaptive_gaussian,thresholding,27125,0.7195,0.7142,0.7058,0.7228,0.5935,0.5957,0.592,0.5994,0.4917,0.5004,0.4949,0.5061
triangle,thresholding,12721,0.8385,0.8348,0.8303,0.8395,0.6565,0.6453,0.6434,0.6471,0.5549,0.5649,0.564,0.5658
niblack,thresholding,233672,0.5539,0.5464,0.5428,0.5501,0.43,0.4333,0.4287,0.4379,0.3472,0.3465,0.3487,0.3442
sauvola,thresholding,234530,0.5786,0.579,0.5789,0.5791,0.4569,0.4519,0.448,0.4557,0.3716,0.3686,0.3755,0.362
gabor,texture,93041,0.7505,0.7575,0.7569,0.7581,0.6318,0.6264,0.6286,0.6242,0.5491,0.5486,0.5464,0.5509
lbp,texture,25434,0.5122,0.5153,0.5126,0.5181,0.4391,0.4318,0.4253,0.4385,0.3821,0.3837,0.3827,0.3846
laws_energy,texture,45089,0.8527,0.849,0.8395,0.8588,0.7387,0.7338,0.7244,0.7434,0.628,0.6345,0.6365,0.6324
hog_vis,texture,14132,0.8146,0.8207,0.8133,0.8282,0.7053,0.7095,0.6999,0.7193,0.6096,0.6108,0.6173,0.6045
emboss,texture,42342,0.6451,0.6421,0.6324,0.6522,0.5445,0.5368,0.5312,0.5424,0.4714,0.4696,0.4775,0.462
frangi,ridge,128837,0.6074,0.6115,0.6099,0.6132,0.511,0.5187,0.518,0.5194,0.4402,0.4413,0.4453,0.4373
hessian_ridge,ridge,45817,0.7683,0.7733,0.7781,0.7686,0.6608,0.6625,0.6551,0.6702,0.578,0.5812,0.5715,0.5913
erode,morphology,34140,0.7828,0.7809,0.7866,0.7753,0.6709,0.676,0.6785,0.6736,0.6027,0.6046,0.6084,0.6007
dilate,morphology,33516,0.7539,0.7537,0.7615,0.7461,0.645,0.6482,0.638,0.6587,0.5582,0.5647,0.567,0.5625
open,morphology,59926,0.792,0.7919,0.7852,0.7988,0.6794,0.6862,0.6833,0.6892,0.5953,0.5938,0.6001,0.5876
