model,prep_algo,algo_id,seen,correct,accuracy,no_detect,mean_conf,mean_algo_us,mean_infer_us,elapsed_s,flash_s
adaptive_gaussian_shapes_2026-04-27,adaptive_gaussian,26,30,12,0.4000,0,0.7260,27125,12281,74.86,29.90
adaptive_mean_shapes_2026-04-27,adaptive_mean,25,30,12,0.4000,1,0.7320,27117,11879,74.87,26.78
agast_shapes_2026-04-27,agast,46,30,10,0.3333,1,0.5823,57882,11879,76.45,26.60
akaze_shapes_2026-04-27,akaze,48,30,11,0.3667,1,0.6083,52572,11877,76.36,26.64
bilateral_shapes_2026-04-27,bilateral,8,30,11,0.3667,1,0.8260,65126,11885,77.02,26.57
blob_log_multiscale_shapes_2026-04-27,blob_log_multiscale,49,30,12,0.4000,0,0.4593,154118,12299,79.02,26.86
brief_shapes_2026-04-27,brief,47,30,11,0.3667,0,0.6230,62616,12298,76.83,26.67
canny_shapes_2026-04-27,canny,15,30,12,0.4000,1,0.3977,130114,11882,78.87,26.70
close_shapes_2026-04-27,close,39,30,11,0.3667,0,0.8863,59690,12290,76.48,26.69
dilate_shapes_2026-04-27,dilate,37,30,11,0.3667,0,0.8730,33516,12288,75.55,26.65
dog_shapes_2026-04-27,dog,18,30,11,0.3667,1,0.6123,110409,11880,77.46,26.74
doh_shapes_2026-04-27,doh,20,30,11,0.3667,0,0.7227,19712,12291,75.49,26.74
emboss_shapes_2026-04-27,emboss,44,30,11,0.3667,1,0.9023,42342,11888,75.36,26.72
erode_shapes_2026-04-27,erode,36,30,11,0.3667,0,0.8437,34140,12297,75.50,26.76
fast12_shapes_2026-04-27,fast12,50,30,10,0.3333,1,0.5817,57878,11882,76.22,26.68
fast9_shapes_2026-04-27,fast9,23,30,11,0.3667,1,0.6017,61212,11885,76.88,26.67
frangi_shapes_2026-04-27,frangi,33,30,12,0.4000,0,0.3700,128837,12297,78.90,26.79
frei_chen_shapes_2026-04-27,frei_chen,14,30,13,0.4333,0,0.4753,45046,12290,75.42,26.68
gabor_shapes_2026-04-27,gabor,30,30,12,0.4000,0,0.3470,93041,12296,77.27,26.61
gaussian_3_shapes_2026-04-27,gaussian_3,4,30,11,0.3667,1,0.8260,40719,11882,75.41,26.69
gaussian_5_shapes_2026-04-27,gaussian_5,5,30,11,0.3667,0,0.8583,23884,12290,75.50,26.74
grayscale_shapes_2026-04-27,grayscale,1,30,11,0.3667,0,0.8280,7717,12296,75.40,26.72
harris_shapes_2026-04-27,harris,21,30,10,0.3333,0,0.6087,18233,12292,75.55,26.71
hessian_ridge_shapes_2026-04-27,hessian_ridge,34,30,12,0.4000,0,0.3593,45817,12296,75.43,26.80
hist_eq_shapes_2026-04-27,hist_eq,3,30,10,0.3333,0,0.9523,26883,12297,75.53,26.66
hog_vis_shapes_2026-04-27,hog_vis,35,30,13,0.4333,0,0.5867,14132,12291,75.53,26.69
invert_shapes_2026-04-27,invert,2,30,8,0.2667,0,0.5647,5788,12296,75.34,26.70
kirsch_shapes_2026-04-27,kirsch,13,30,14,0.4667,1,0.4933,179513,11888,80.36,26.68
laplacian_shapes_2026-04-27,laplacian,17,30,11,0.3667,0,0.7220,43530,12299,75.47,26.65
laws_energy_shapes_2026-04-27,laws_energy,32,30,16,0.5333,0,0.4357,45089,12298,75.43,26.68
lbp_shapes_2026-04-27,lbp,31,30,10,0.3333,0,0.6527,25434,12298,75.54,26.64
log_shapes_2026-04-27,log,19,30,11,0.3667,0,0.6773,77961,12300,77.32,26.74
marr_hildreth_shapes_2026-04-27,marr_hildreth,16,30,11,0.3667,0,0.6373,98550,12299,77.29,26.64
mean_3_shapes_2026-04-27,mean_3,6,30,11,0.3667,0,0.8587,42846,12297,75.42,26.69
median_3_shapes_2026-04-27,median_3,7,30,11,0.3667,0,0.8600,168868,12297,79.40,26.68
morph_gradient_shapes_2026-04-27,morph_gradient,40,30,18,0.6000,0,0.3520,63004,12294,76.78,26.55
mser_shapes_2026-04-27,mser,45,30,13,0.4333,0,0.7700,14667,12288,75.51,26.63
niblack_shapes_2026-04-27,niblack,28,30,12,0.4000,1,0.7077,233672,11882,81.98,26.71
open_shapes_2026-04-27,open,38,30,11,0.3667,0,0.8573,59926,12291,76.22,26.69
otsu_shapes_2026-04-27,otsu,24,30,11,0.3667,0,0.8633,12258,12286,75.47,26.74
passthrough_shapes_2026-04-27,passthrough,0,30,11,0.3667,0,0.8263,1159,12293,74.26,26.67
prewitt_shapes_2026-04-27,prewitt,11,30,13,0.4333,0,0.4753,44986,12295,75.42,26.75
region_grow_shapes_2026-04-27,region_grow,41,30,13,0.4333,0,0.6840,14833,12296,75.49,26.65
roberts_shapes_2026-04-27,roberts,10,30,14,0.4667,0,0.3503,14335,12284,75.50,26.71
sauvola_shapes_2026-04-27,sauvola,29,30,11,0.3667,1,0.8567,234530,11879,81.98,26.71
scharr_shapes_2026-04-27,scharr,12,30,12,0.4000,0,0.6800,47082,12292,75.41,26.67
sharpen_shapes_2026-04-27,sharpen,43,30,11,0.3667,0,0.8587,42585,12297,75.49,26.71
shi_tomasi_shapes_2026-04-27,shi_tomasi,22,30,10,0.3333,0,0.6087,28216,12296,75.50,26.66
sobel_shapes_2026-04-27,sobel,9,30,13,0.4333,0,0.5497,43910,12295,75.39,26.67
triangle_shapes_2026-04-27,triangle,27,30,10,0.3333,0,0.9697,12721,12285,75.46,26.74
watershed_shapes_2026-04-27,watershed,42,30,12,0.4000,1,0.6567,47900,11891,75.39,26.70
